Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),VPC,Amazon Virtual Private Cloud (VPC),0,33.3,399.60,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),ELB,Application Load Balancer,0,36.94,443.28,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web and App Servers,Amazon EC2,0,70.4,844.80,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 3 Year No Upfront), Storage amount (30 GB), Instance type (t2.medium)"
My Estimate,US East (N. Virginia),Database,Amazon RDS for MySQL,0,358.8,4305.60,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (1), Instance type (db.m1.large), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),Scaling Reserve,Amazon EC2,0,41.2,494.40,USD,"Operating system (Linux), Quantity (4), Pricing strategy (Standard Reserved Instances 3 Year No Upfront), Storage amount (30 GB), Instance type (t2.small)"
My Estimate,US East (N. Virginia),Blob Storage,S3 Standard,0,0.69,8.28,USD,S3 Standard storage (30 GB per month)
My Estimate,US East (N. Virginia),Blob Storage,Data Transfer,0,0,0.00,USD,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
