Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),VPC,Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),ELB,Application Load Balancer,0,36.94,443.28,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web and App Servers,Amazon EC2,0,274.18,3290.16,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 3 Year No Upfront), Storage amount (100 GB), Instance type (t2.xlarge)"
My Estimate,US East (N. Virginia),Database,Amazon RDS for MySQL,0,908.9,10906.80,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (1), Instance type (db.m1.xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),Scaling Reserve,Amazon EC2,0,314.18,3770.16,USD,"Operating system (Linux), Quantity (8), Pricing strategy (Standard Reserved Instances 3 Year No Upfront), Storage amount (100 GB), Instance type (t2.large)"
My Estimate,US East (N. Virginia),Blob Storage,S3 Standard,0,23,276.00,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),Blob Storage,Data Transfer,0,0,0.00,USD,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
